,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.928252847056807,0.8869445500014788,0.8702740446262993,0.8407752356863685,0.8272026885368255,0.8151222791150288
Random,0.9025758510287892,0.8901562635609885,0.8722550087132307,0.8386968746337249,0.8257332090648463,0.8143628741755055
Edge Jaccard JC,0.8865229750612836,0.8717327348926273,0.8510688873476315,0.8323879809212384,0.822157113788331,0.8143175932284016
Edge Local Search L-Spar,0.9037410686344515,0.8972224193422988,0.8982261211174132,0.8982261211174132,0.8982261211174132,0.8982261211174132
Clustering Coefficients,0.8919493754559508,0.85970150949044,0.8447634746253097,0.8268754155732675,0.8195531437648517,0.8146359873705127
