,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.9209237136383327,0.859920063352129,0.8237301770757645,0.7832538386833904,0.7389026436902781,0.47842351056061067
Random,0.916492177863189,0.8783506248400579,0.8171800253508567,0.6937827570042214,0.5989147673568086,0.47572090358354546
Edge Jaccard JC,0.7524092281944504,0.6821693422752613,0.6164870667938884,0.5413229972029453,0.4976312929180678,0.4708205993745063
Edge Local Search L-Spar,0.7476833299568821,0.7134087864179379,0.6598978421012989,0.576302562292105,0.5763504675580158,0.576302562292105
Clustering Coefficients,0.24547162864502464,0.3370860668225476,0.4251322200841834,0.44553678964572063,0.4493089145835036,0.4612664638620029
