,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.8684112846691824,0.7354031390747675,0.6739321996754213,0.6042788561038309,0.5782317409821224,0.06705693581873443
Random,0.9045249195225749,0.8786853395430391,0.8052424532165902,0.5724611973059331,0.37236137646294065,0.011963818958358984
Edge Jaccard JC,0.48403402858300393,0.3651460379898041,0.2647231473070433,0.14542491648597,0.06615101539927035,0.01507808997958444
Edge Local Search L-Spar,0.42567513206677404,0.34779321931478896,0.2686818747076462,0.06570211531004953,0.06602540918021237,0.06570211531004953
Clustering Coefficients,0.027057431657749993,0.021117406136713403,0.01853498923042681,0.008101878837308995,0.006657045491188185,0.00265494282948249
