,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.42724835265874384,0.22494279528705952,0.20145876961492526,0.2492837673304421,0.3361175419629084,0.463480806200867
Random,0.7254223464563122,0.572365664045737,0.48870072371524004,0.40006133479972666,0.36917853476629675,0.4478691396368314
Edge Jaccard JC,0.5993971889644718,0.5938002119806703,0.568053955387778,0.5405938433067684,0.5215952947553679,0.4727727589464073
Edge Local Search L-Spar,0.7320490123517768,0.670411024616331,0.6264271794428706,0.5687067348736102,0.5687067348736103,0.5687067348736103
Clustering Coefficients,0.1567610702105313,0.19071979884095444,0.22905441885482578,0.3011678895809501,0.3664062019053673,0.44119018801640797
