,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.29091401947375783,0.08522672357800397,0.05481668729236831,0.04343872123304919,0.018203804515703092,0.0040579477479807165
Random,0.639903780053582,0.42673710535815856,0.28881669761961876,0.12851098227022204,0.03013508555705833,0.0023666570140729514
Edge Jaccard JC,0.40476203793001314,0.3482243832961259,0.29509409872387143,0.2001703233843082,0.10743350425535311,0.006464414388151797
Edge Local Search L-Spar,0.519639218935995,0.40191238914780425,0.27718939004538845,0.10683989659405807,0.10683989659405807,0.10683989659405807
Clustering Coefficients,-0.0017705255378830673,0.0016106414245441458,0.000713968395666705,0.0017998373638886194,0.0019325278047237012,0.0008506803594570493
