,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.26276962307641943,0.27069461183519566,0.35855165111312015,0.5461883274364759,0.7411365127100822,0.9753481732957853
Random,0.4223924691547555,0.43375391694357884,0.4271965382618795,0.534000671455661,0.7032816328803748,0.9753481732957849
Edge Jaccard JC,0.6259879167964595,0.7228934793756867,0.7945489962919253,0.8866191383805129,0.9237363312236632,0.9563281250000004
Edge Local Search L-Spar,0.7937684738593499,0.8680975198168102,0.9109237613216284,0.9843628593628594,0.9843628593628594,0.9843628593628594
Clustering Coefficients,0.6299623700789473,0.7337469045993283,0.7891594642754678,0.832934248746528,0.843284600556133,0.8695117187500001
