,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.9444939631784701,0.9110469374988062,0.8894966220176611,0.8555078874992165,0.8337576002259394,0.816204308134764
Random,0.9819774537439164,0.9354296178966223,0.8956775583036969,0.845328428114445,0.8269086826943726,0.8147457603975311
Edge Jaccard JC,0.9388172152292559,0.8956773433063665,0.86428651322174,0.8370587547606023,0.8235451274900741,0.8145747607702678
Edge Local Search L-Spar,0.9896436737756871,0.9518153163436417,0.9455747897555784,0.9455747897555784,0.9455747897555784,0.9455747897555784
Clustering Coefficients,0.6482471732509381,0.7162821410972223,0.7505089142146814,0.7853993164655863,0.7986467428735334,0.807899040301404
