,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.9879703616954179,0.9841961573302497,0.9805766069095986,0.9739200936894723,0.9593036349713983,0.8794444444444445
Random,0.9931431016620863,0.9935106776971995,0.9941345547497874,0.995219809918469,0.9941444079095546,0.9827777777777782
Edge Jaccard JC,0.9892685014188528,0.9904834116581307,0.9909787284356595,0.9901017972163374,0.9834466915904692,0.9537489227233547
Edge Local Search L-Spar,0.9939671502155851,0.9954757416203608,0.9960968781091512,0.9960968781091512,0.9960968781091512,0.9960968781091512
Clustering Coefficients,0.9932996261429642,0.9916182454243782,0.9894852709337416,0.9805020044142153,0.9696184856537997,0.9405343292157423
