,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.9241903302919282,0.8592908804823601,0.7956618462710946,0.5202271581567174,0.24281584688560798,0.027125699993076565
Random,0.8446704753750868,0.7114346688027677,0.5243749028990516,0.23841414497984717,0.08278036013353306,0.010922866678860874
Edge Jaccard JC,0.6988080544998669,0.5960777253219467,0.48264224566938735,0.27031358870467537,0.10809846693657017,0.01720412555576489
Edge Local Search L-Spar,0.7253428715663303,0.6234327288234481,0.6053674761384193,0.6053674761384193,0.6053674761384193,0.6053674761384193
Clustering Coefficients,0.03379159748083295,0.028822863474589146,0.024731710657399292,0.011849521531440244,0.009920026649753068,0.002481414859786409
Effective Resistance Sampling,0.07089206462622764,0.06087390770949368,0.04969776386837865,0.027715287915034442,0.009107305687596625,0.0008636544665177169
