,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.9504288235694246,0.9187982728152281,0.8929163129167593,0.8459301918075732,0.8192220111724137,0.7996699322179449
Random,0.9667770137176271,0.9263544316646096,0.8880428068205198,0.8377495524844958,0.8149342142533165,0.8000034937974229
Edge Jaccard JC,0.8966346105429583,0.8746581017772277,0.8559777745970696,0.8310112308032889,0.8143939373489381,0.8004844486609816
Edge Local Search L-Spar,0.9527254417545277,0.9348128755023655,0.9316704008054792,0.9316704008054792,0.9316704008054792,0.9316704008054792
Clustering Coefficients,0.7044818490373401,0.7363531744789766,0.7566081682492101,0.77607149075975,0.78509310015602,0.7939965300146704
Effective Resistance Sampling,0.6384859380275986,0.6903769949233708,0.7265302942627797,0.7685261051346898,0.7850704777365723,0.796464096896343
