,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.9781900141633049,0.9629644442980535,0.9483803953491653,0.9081220208826418,0.8661007102565546,0.7462652784065188
Random,0.9846563868982352,0.984078697582305,0.9868771791964074,0.9882223403804755,0.9891118982028089,0.9760072430964243
Edge Jaccard JC,0.939953085816936,0.9590936602712986,0.9599630293749065,0.9599810964083169,0.9651039697542529,0.944234404536862
Edge Local Search L-Spar,0.9916406770154431,0.9928259193238247,0.9947787517357661,0.9947787517357661,0.9947787517357661,0.9947787517357661
Clustering Coefficients,0.9801511411313664,0.9745895648203785,0.9591637282328956,0.9298298676748588,0.9531947069943284,0.8780718336483931
Effective Resistance Sampling,0.9854518899497399,0.984999663746917,0.9854767148648194,0.9842124999999967,0.9797131995935112,0.909090909090909
