,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.79332097287833,0.7722195543158965,0.7530473141848384,0.7705650436479592,0.8008377691600178,0.8284367228471865
Random,0.8367426454300511,0.8365806313507661,0.8390037186488032,0.8449916234899603,0.8597014581102046,0.9759686233870111
Edge Jaccard JC,0.8961903862772168,0.8910417036258197,0.8805849963072289,0.7932102836895999,0.7023516978868327,0.7852328762192712
Edge Local Search L-Spar,0.9211393423813491,0.9471693512242446,0.966495382021771,0.9946985824698255,0.9946805102432837,0.9947056608883764
Clustering Coefficients,0.7991117075510785,0.6176302794975429,0.3450707459917083,0.37717950296028563,0.5591324290210138,0.8946760866100039
