,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.14054586510864348,0.059291933231469265,0.02586509882326616,0.004897498473195684,0.0010671599317017646,0.0
Random,0.300255363826081,0.1017406564219313,0.052411781445645976,0.012035192563081007,0.006391102257636123,0.0
Edge Jaccard JC,0.33092430754283375,0.24527932227135402,0.18003185670018326,0.08236577499525707,0.04838977423638779,0.0069721115537848604
Edge Local Search L-Spar,0.540942628641832,0.028193574906722342,0.0,0.0,0.0,0.0
Clustering Coefficients,0.3418306931006138,0.24160738000379414,0.17200483779169068,0.10505596660975154,0.06872509960159362,0.004233067729083665
