,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.45543747812450136,0.4120764104433539,0.351617805470274,0.2211432848902192,0.12721027354384035,0.01870982559739486
Random,0.4704248903917249,0.40342147604798795,0.2874440744852091,0.16592975173289454,0.0780424135573408,0.014980603756893546
Edge Jaccard JC,0.41187298665439487,0.3569111999521394,0.28869689890914535,0.1668231569587319,0.10279199870615371,0.01787287590124668
Edge Local Search L-Spar,0.4982791481675458,0.49762044204540734,0.4791836889671824,0.4791836889671824,0.4791836889671824,0.4791836889671824
Clustering Coefficients,0.4022771808377241,0.2905781419562405,0.22668873775524237,0.14322982970662673,0.06809116983906653,0.02073272598139845
Effective Resistance Sampling,0.5081104265380347,0.38884820190201125,0.3005501978409754,0.14380013310693063,0.05849918625264673,0.002948074406723264
