,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.8889397150193233,0.7721709987118094,0.6707056504638057,0.4303784712626356,0.2343911173885915,0.038860193909577616
Random,0.936621040493242,0.7401961671250925,0.5176382573765409,0.1764715396512654,0.06989093699684017,0.010927477211447665
Edge Jaccard JC,0.8038758185615879,0.5316109608807337,0.30745172241406776,0.1343032101586413,0.058411970060090114,0.012173859223010002
Edge Local Search L-Spar,0.9435680818218039,0.7524488425336769,0.6998232039421973,0.6998232039421973,0.6998232039421973,0.6998232039421973
Clustering Coefficients,-0.00010088501478589729,0.00024975773038696274,0.00035687558048092395,0.0003389235963173657,1.534363824712071e-05,-9.252003652633094e-05
