,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.023011948734285814,0.41178717254986624,0.31769852284838657,0.22887462145232154,0.5300274915786629,0.00602567817230517
Random,0.8542599099208678,0.6159142859996335,0.3557875490769754,0.08451082447533806,0.0446357236169607,0.007394110805937746
Edge Jaccard JC,0.4977058489384387,0.42027155737826644,0.5246745727977891,0.4974767124890372,0.14600269743421215,0.006257725629567975
Edge Local Search L-Spar,0.11904258335261583,0.6666424799970755,0.4365095246833731,0.1349490875685066,0.1349490875685066,0.1349490875685066
Clustering Coefficients,0.4292671763029602,0.3738744902051165,0.659076363308563,0.6076165125256714,0.30905157855104387,0.018653207173725546
