,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,1.0,0.9245201492297322,0.6415816428965775,0.003045966265386999,0.001120767519462269,3.9991513392636146e-05
Random,0.3009085444116541,0.19387420322785892,0.10999012496376552,0.04418730140690537,0.0002174172529762512,3.1650257068040476e-05
Edge Jaccard JC,0.010432887877614573,0.004906200421305359,0.0023856918531051227,0.0009461697185369934,0.00032372625157322507,3.751985104782929e-05
Edge Local Search L-Spar,0.0049092459843039305,0.0006700439820435201,0.00020193757156272894,0.0001041996027597066,0.0001041996027597066,0.0001041996027597066
Clustering Coefficients,0.03054472193746821,0.0037680071176411857,0.002354942427219308,0.0011231470498880374,0.0005098579840945301,5.6833725432351935e-05
