,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.0,0.00041459341264794966,0.0012431503707753511,0.43389046598790515,0.6090481980644037,0.9595308822962093
Random,0.0007464926771994803,0.003723635956681259,0.015394054014731042,0.09827648096825926,0.5115227655256053,0.88773581266155
Edge Jaccard JC,0.5366719671984372,0.685035405566117,0.7543079132735424,0.7869402024475464,0.8102399315146014,0.9307617187500004
Edge Local Search L-Spar,0.7221945412730796,0.6453996137770561,0.6508819441060244,0.7606511592525572,0.7606511592525572,0.7606511592525572
Clustering Coefficients,0.47616547939219234,0.6942309529861672,0.7479156618471513,0.773760136722657,0.7251961433540769,0.8384570312500002
