,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,1.0,0.9223134002443141,0.6475510193055447,0.06102125392173808,0.05268186753694046,0.04391686178100441
Random,0.33317508324043454,0.23523878456809555,0.15932393490545604,0.0979756728093113,0.047857051022328505,0.04371953311832619
Edge Jaccard JC,0.08770212949707433,0.0751543947602262,0.06554417213739998,0.05535636490949204,0.047563126662099026,0.04357592921857312
Edge Local Search L-Spar,0.0781694944709957,0.051099736375725985,0.04525984902326263,0.043182490692993465,0.043182490692993465,0.043182490692993465
Clustering Coefficients,0.11634296467715954,0.07246223307534135,0.06281139722866888,0.05429948578063651,0.04853577916000249,0.043715956443200324
