,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.9577749313093994,0.9258563803432277,0.8782413376649705,0.8751027543804322,0.9089962163866496,0.8398611111111112
Random,0.9304625354713739,0.8521921247291158,0.842171031147247,0.930633755236247,0.9773827755506518,0.980555555555556
Edge Jaccard JC,0.9363010675194791,0.9311282900169644,0.9545801005585368,0.9736090153596645,0.9803443538579344,0.9537489227233547
Edge Local Search L-Spar,0.9264058698441255,0.879542705783612,0.8782412898274633,0.8782412898274633,0.8782412898274633,0.8782412898274633
Clustering Coefficients,0.9674478627088854,0.9579288845847765,0.972144765438493,0.9755346042971034,0.9696184856537997,0.9405343292157423
