,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.8705216855355602,0.8596290118341234,0.8508586811761775,0.8352754798497989,0.8292598659277444,0.8214352967849597
Random,0.8919661571073709,0.8740602091479415,0.8568478270784856,0.8410378292339961,0.830816649427255,0.8219858936835909
Edge Jaccard JC,0.8747236436414456,0.8600920780015948,0.8508571406190151,0.8386115207409642,0.8281034338973896,0.821666659081666
Edge Local Search L-Spar,0.8922639960821123,0.8823339844201988,0.8816601564579328,0.8816601564579328,0.8816601564579328,0.8816601564579328
Clustering Coefficients,0.8758655759159628,0.8581339734432715,0.8463658240819669,0.8313752152599416,0.826345660076481,0.8215617320605928
