,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.4675681675154847,0.39791587980585486,0.3194608915448554,0.18040339681089895,0.10467656204988814,0.019063379801453235
Random,0.5296820155195386,0.3750297123864478,0.24636615651780125,0.12992512063280687,0.06393133800361779,0.01189275375780645
Edge Jaccard JC,0.44989780746277397,0.30680584384663856,0.22106629149700108,0.12092870812134095,0.05476886186609059,0.012082292342574125
Edge Local Search L-Spar,0.5232649746619548,0.40317683307322444,0.3836372635450907,0.3836372635450907,0.3836372635450907,0.3836372635450907
Clustering Coefficients,0.4315502271812319,0.2979689802061186,0.21525838992936122,0.10091310675650982,0.056701661152473534,0.015349219353745525
