,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.7474916873313682,0.730524604408378,0.6985382706418202,0.740662012456344,0.7652945605367053,0.8079279045875982
Random,0.81684160464558,0.8178445429052115,0.7907567062359231,0.7204035843685191,0.6658678445581104,0.8414675595012846
Edge Jaccard JC,0.8854269755937069,0.871112232036924,0.8539858088338215,0.7574174296315213,0.6654933224018308,0.7657682498547418
Edge Local Search L-Spar,0.8328511408575789,0.7642134503040543,0.7219013381415506,0.8121829366300767,0.8121325942009251,0.8121325942009251
Clustering Coefficients,0.7733995861539372,0.5942414105025698,0.33577815246949455,0.36424586888186844,0.54703963694975,0.8727542793383423
