,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.6900099781229866,0.7144984460573799,0.49804844328892445,0.5506704136463123,0.6622062262256109,0.04330746649540818
Random,0.4400600740113471,0.3885801701756929,0.2857144553475003,0.1771436534491125,0.15406138235517985,0.0018217215330985895
Edge Jaccard JC,0.23029124027629602,0.16642677712082973,0.13302739639249878,0.07572002734858338,0.017041768725847273,0.00728105761059061
Edge Local Search L-Spar,0.12807964148480655,0.06203800003427676,0.017336767624332634,0.009226810541251504,0.009226810541251504,0.009226810541251504
Clustering Coefficients,0.21987858138258765,0.08556815907524754,0.04361709941114901,0.019593292083027434,0.01085110765584782,0.0016289884019114334
