,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.7453645959533861,0.7655843990547844,0.7158282508349414,0.7114904415447949,0.7177967322444637,0.4683463484401772
Random,0.721040747294837,0.6885286894334326,0.6348885544318585,0.5445868513858307,0.5034047365190857,0.4535182807326248
Edge Jaccard JC,0.6369172011881598,0.5828454555117867,0.5558659490194565,0.5011324836605571,0.4630812443934718,0.44942681968627046
Edge Local Search L-Spar,0.6079189350404239,0.5476116427902883,0.511313083186543,0.4966426596395599,0.4966426596395599,0.4966426596395599
Clustering Coefficients,0.5977581105651232,0.5280783831439093,0.4791418541970022,0.45718877991434126,0.4513358563811198,0.4464780287755262
