,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.17492997869193772,0.7065761529653378,0.723733073449104,0.6726623274646625,0.6903381286870157,0.5200732783201802
Random,0.824671604028161,0.7765780314164885,0.7052498398211393,0.6117384910558242,0.5750320376206784,0.5213074135392765
Edge Jaccard JC,0.7577588158202578,0.6729739622919777,0.7129801900311056,0.693694719914861,0.5944638623784537,0.5176862408119394
Edge Local Search L-Spar,0.3654112930370265,0.838766337826007,0.7635158756361584,0.6604673090627263,0.6604673090627263,0.6604673090627263
Clustering Coefficients,0.7460196541977872,0.7119745449565501,0.7030160477452304,0.6719156567556035,0.604158755235936,0.5220889288665417
