,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.2247081844743966,0.17585833429370387,0.11057900642174502,0.014639954042553709,0.0006378282482087925,0.0
Random,0.18370868238189303,0.09967107046117674,0.050986725390821545,0.02089028161318413,0.006731254632922762,0.0
Edge Jaccard JC,0.3270106630817886,0.2898612734609578,0.2593778718186662,0.19992939960188122,0.11885788064892538,0.05096896470030799
Edge Local Search L-Spar,0.33033311090731715,0.17761538646017191,0.05469915932602504,0.0,0.0,0.0
Clustering Coefficients,0.25219591651200335,0.19545517188460948,0.1551051335072463,0.09565997213898846,0.06888604192402538,0.0200337418247866
