,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.0033452857519126033,0.17625088238838857,0.3415718260191997,0.5011167693921548,0.6654692953144731,0.9595308822962109
Random,0.3953411562291671,0.4219554157125395,0.4269696259041018,0.46675248959417975,0.6317634464493459,0.9558273214767969
Edge Jaccard JC,0.6108085167422938,0.29649164024897817,0.37688946455461986,0.8443263819208481,0.9159177368802216,0.9478125000000005
Edge Local Search L-Spar,0.23240470287580198,0.8418037984494983,0.9031377608838086,0.9840388826402815,0.9840388826402815,0.9840388826402815
Clustering Coefficients,0.6070175070385787,0.7200008000771313,0.5451831957215238,0.644185913968322,0.7351518046429247,0.8479687500000003
