,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.8341674907613372,0.651608176978729,0.5496344508359453,0.3120839591095056,0.17631044353531225,0.029197746195722348
Random,0.6189532047638139,0.55770320861182,0.4136277750921188,0.16288806148354895,0.07075588633443616,0.01074151921321451
Edge Jaccard JC,0.5575689984702015,0.42768735100645466,0.2612716090881117,0.12123059917039097,0.05454327332674843,0.011633817597072695
Edge Local Search L-Spar,0.6223772153254605,0.55975792326044,0.5415868126292722,0.5415868126292722,0.5415868126292722,0.5415868126292722
Clustering Coefficients,0.5317743886901218,0.3455438727517247,0.2362711558452026,0.10691731075923337,0.05463340267029931,0.01589171885783496
