,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.9879703616954175,0.9841961573302499,0.9805766069095989,0.9739200936894721,0.9593036349713976,0.8765277777777779
Random,0.99306652853475,0.9933711694668382,0.9939909801360317,0.9932928133867779,0.9937164992567913,0.9811111111111115
Edge Jaccard JC,0.9892685014188523,0.9904834116581299,0.990978728435659,0.9884703954776742,0.9834466915904694,0.9537489227233541
Edge Local Search L-Spar,0.993967150215586,0.9954757416203583,0.9960968781091519,0.9960968781091519,0.9960968781091519,0.9960968781091519
Clustering Coefficients,0.9932996261429637,0.9916182454243773,0.9886685143687226,0.9805020044142138,0.9696184856537988,0.9405343292157419
