,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.433042300213244,0.1641687722709612,0.08062325089698309,0.02370586963896822,0.0054301566977623325,0.0006807511737089201
Random,0.3735322830993911,0.15505275241190752,0.07440252626872346,0.008836351441985243,0.0011737089201877932,0.0
Edge Jaccard JC,0.13799634155076201,0.1166845371557466,0.09095244670638203,0.04528819380932057,0.0218326626425218,0.002112676056338028
Edge Local Search L-Spar,0.6966808676116693,0.09760248358839908,0.0,0.0,0.0,0.0
Clustering Coefficients,0.5493717376724111,0.3552271755257058,0.2170044376933538,0.11950991853625045,0.07285714285714287,0.010892018779342724
Effective Resistance Sampling,0.489479451640634,0.2746177844065166,0.1358421625323033,0.036864012356970094,0.011776212832550863,0.0
