,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.9348566024063492,0.900338476354493,0.8727590449884952,0.8351951101302928,0.8155581791945429,0.6704391127206881
Random,0.9219177398939402,0.8448487966417996,0.8846078740453869,0.8982712296667127,0.9577125616086664,0.975101856043459
Edge Jaccard JC,0.9282129546742377,0.9257721773222387,0.9289665319172263,0.9209924385633262,0.9011531190926272,0.9106805293005672
Edge Local Search L-Spar,0.9796198773560818,0.9717765457258443,0.9713257538186864,0.9713257538186864,0.9713257538186864,0.9713257538186864
Clustering Coefficients,0.9801511411313664,0.9745895648203785,0.9591637282328956,0.9298298676748588,0.9531947069943284,0.8780718336483931
Effective Resistance Sampling,0.9464200558022017,0.939162045821237,0.9288722908487315,0.9550312499999971,0.9573374985885805,0.909090909090909
