,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.8722245187501378,0.8618554934416297,0.8536845422833345,0.8410473080273129,0.8354464967396369,0.8278203252501779
Random,0.8828660057827167,0.8768497799539727,0.8623206436780695,0.8498778938458414,0.8377031408872793,0.8289952062300636
Edge Jaccard JC,0.8559253344746682,0.855747748999679,0.8469701662860841,0.8397975493155198,0.837093043945366,0.8289359099215734
Edge Local Search L-Spar,0.8880535952279391,0.8927129728986457,0.8901971509053086,0.8901971509053086,0.8901971509053086,0.8901971509053086
Clustering Coefficients,0.8719066212365476,0.8571663671019599,0.8483793628776535,0.8384530130140408,0.8323667345550864,0.8286664105180844
Effective Resistance Sampling,0.8915079963973033,0.8740581008905138,0.8626240584065212,0.8442142501617672,0.8337339091266988,0.8269146677960951
