,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.8274155066619698,0.8565630893451738,0.7224930067895513,0.534907976003983,0.4368960293140232,0.020913868780493134
Random,0.6524191711910338,0.5405217869503522,0.39091566593520677,0.20121512783479212,0.05925530228525456,0.008986378767821815
Edge Jaccard JC,0.5094277083704063,0.5420466590883575,0.3882551641719562,0.2215243174485267,0.08852866306228192,0.015063894200597325
Edge Local Search L-Spar,0.5450565191722931,0.47183610390324693,0.4735122035514799,0.4735122035514799,0.4735122035514799,0.4735122035514799
Clustering Coefficients,0.3613248704258893,0.2682574807907429,0.2065774494904706,0.12537389658284678,0.06784363774128101,0.015063894200597325
Effective Resistance Sampling,0.5839556360410562,0.4725025148857017,0.3249555835857645,0.15057567728909033,0.05089138656337031,0.0021110491771470148
