,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.9773271347302135,0.9609944429021132,0.9439778892438864,0.891514250356435,0.7910552650812392,0.7408329560887279
Random,0.9842204770352093,0.9840133445635971,0.9875188804871027,0.9865566226396394,0.9914356927343969,0.9778180172023546
Edge Jaccard JC,0.9172194681049858,0.9576758028068132,0.9599630293749065,0.9599810964083167,0.9613705103969746,0.9442344045368624
Edge Local Search L-Spar,0.9916406770154427,0.9928259193238256,0.993922879265026,0.993922879265026,0.993922879265026,0.993922879265026
Clustering Coefficients,0.9801511411313659,0.9745895648203783,0.9591637282328956,0.9298298676748586,0.9531947069943274,0.8780718336483933
Effective Resistance Sampling,0.9849839074205662,0.9849996637469177,0.9854767148648194,0.9842124999999946,0.9746132711054233,0.909090909090909
