,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.538203170765926,0.7422483672954663,0.19994705082359895,0.5743790431794921,0.7391328930116096,0.15535304454043797
Random,0.8967146312571734,0.7302115456709294,0.643330621403476,0.4328176192042061,0.7082439961145095,0.005612218183647099
Edge Jaccard JC,0.548323353957553,0.27981834357185253,0.11991292244006696,0.057802622243655476,0.026132542692985233,0.0014710622821150685
Edge Local Search L-Spar,0.6694704667080543,0.5540881917693584,0.1916402468031276,0.022934189714474758,0.023751837381374024,0.023751837381374024
Clustering Coefficients,0.5459751951845913,0.21957283869644914,0.06199909279039507,0.021492670998236957,0.01525185671002377,0.0012668653977214819
