,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.6539170351654019,0.7639801711608049,0.3781432376502583,0.7321624346495422,0.7188380369339245,0.3758563074409872
Random,0.8418386203276057,0.7114971066185993,0.6393207996227825,0.5607193784148239,0.5251285422125613,0.346639063813332
Edge Jaccard JC,0.6265424101800806,0.553857973231861,0.4626085173819689,0.3967755314082553,0.3620915717612197,0.3357884788040875
Edge Local Search L-Spar,0.694689526768193,0.6143634192441337,0.5159697680389482,0.42365161799707135,0.4241921961916266,0.4241921961916266
Clustering Coefficients,0.5778970523469185,0.4499753351370318,0.37340453161816206,0.35097499591464104,0.346832678887947,0.3349388622553799
