,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.6042948956927275,0.660246476421464,0.14487033830620116,0.7405790205090542,0.703042611677211,0.42450194885396614
Random,0.7056625496252154,0.7079446194355972,0.7070511290552272,0.7825590046802186,0.6032603993970111,0.9730302723265213
Edge Jaccard JC,0.710766305238282,0.8334835438940577,0.8779016577218144,0.7931379158279408,0.7020403690799752,0.7490275399653457
Edge Local Search L-Spar,0.7758854504701008,0.8152284918374094,0.9527071387259003,0.9945448172087253,0.9946835471409053,0.9946835471409053
Clustering Coefficients,0.595440599741061,0.42750419782237137,0.3006751053746586,0.36068650952711406,0.5497439188862383,0.8919373871997794
