,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.4464322577125026,0.42300639205058005,0.37892613838771294,0.3476565513924855,0.07267188262464189,0.0022304061598070945
Random,0.2792994828708324,0.15183694834540312,0.09144387556956778,0.03737819915800735,0.012278907019637691,0.0010893785590492698
Edge Jaccard JC,0.3337245756877978,0.24804163725458533,0.18642681488434878,0.11249115551737901,0.07467946421940998,0.02628598190618495
Edge Local Search L-Spar,0.425754832145902,0.25826999897775416,0.10537339813395159,5.3280877742378114e-05,0.0,0.0
Clustering Coefficients,0.3473297628875639,0.26214207434107245,0.16156818106283563,0.10206922442312455,0.08269766328399292,0.04272466984722018
