,0.5,0.3,0.2,0.1,0.05,0.01
Edge Betweenness,0.9079689816739553,0.9042495173858551,0.8691552230350491,0.8351894274049193,0.8185651939267263,0.7948185398904334
Random,0.896991824735255,0.8796160857031053,0.8599132792082862,0.8266515934107868,0.8072477603244632,0.7940420210904083
Edge Jaccard JC,0.8600267598407042,0.8568012255005966,0.8397499072813902,0.8211369932792697,0.8070332930933083,0.7947339606513211
Edge Local Search L-Spar,0.8939319618988014,0.8843328070628624,0.8912430269402053,0.8912430269402053,0.8912430269402053,0.8912430269402053
Clustering Coefficients,0.8567035728962398,0.8389412543381499,0.8255135698553417,0.8096658769373918,0.8024974388689261,0.7942111014335907
Effective Resistance Sampling,0.8904794350760923,0.8700593110126984,0.8497187883281545,0.8199227446743002,0.8024348225338547,0.7918544037156264
